Label,X,Y,Region
a1,-5.39,222.38,outer
a2,254.76,222.5,outer
a3,343.3,60,outer
a4,342.79,34.9,outer
a5,247.64,-13.46,outer
a6,103.75,-14.48,outer
a7,-5.56,-13.27,outer
a8,26.75,150.26,inner_1
a9,38.085,150.26,inner_1
a10,38.085,145.28,inner_1
a11,26.75,145.28,inner_1
a12,26.73,82.1,inner_1
a13,39.48,82.04,inner_1
a14,39.55,38.81,inner_1
a15,58.15,38.73,inner_1
a16,58.23,31.25,inner_1
a17,66.82,31.22,inner_1
a18,66.82,21.27,inner_1
a19,81.24,21.24,inner_1
a20,81.24,31.22,inner_1
a21,99.87,31.2,inner_1
a22,99.76,49.7,inner_1
a23,81.25,49.67,inner_1
a24,81.25,65.8,inner_1
a25,89.7,65.8,inner_1
a26,89.74,82.1,inner_1
a27,99.8,82.03,inner_1
a28,99.8,102,inner_1
a29,91.26,101.86,inner_1
a30,91.26,110.6,inner_1
a31,81.25,110.56,inner_1
a32,81.25,136.8,inner_1
a33,68.2,136.87,inner_1
a34,68.2,152.74,inner_1
a35,51.13,152.73,inner_1
a36,51.13,160.22,inner_1
a37,59.72,160.24,inner_1
a38,59.66,170.25,inner_1
a39,51.1,170.22,inner_1
a40,51.1,178.7,inner_1
a41,39.24,178.75,inner_1
a42,39.1,170.4,inner_1
a43,26.7,170.27,inner_1
a44,152.74,175.27,inner_2
a45,152.74,156.25,inner_2
a46,143.4,156.25,inner_2
a47,143.42,149.47,inner_2
a48,134.24,149.34,inner_2
a49,134.2,111.9,inner_2
a50,143.3,111.9,inner_2
a51,143.35,88.8,inner_2
a52,134.2,88.7,inner_2
a53,134.26,72.66,inner_2
a54,125.8,72.6,inner_2
a55,125.8,51.4,inner_2
a56,134.1,51.5,inner_2
a57,134.2,36.37,inner_2
a58,152.5,36.37,inner_2
a59,152.54,25.1,inner_2
a60,185.5,25.05,inner_2
a61,185.5,38.9,inner_2
a62,177,39,inner_2
a63,177.09,69.8,inner_2
a64,185.45,69.8,inner_2
a65,185.6,107.26,inner_2
a66,177.16,107.17,inner_2
a67,177.1,129.87,inner_2
a68,185.55,129.87,inner_2
a69,185.55,149.45,inner_2
a70,177149.45,,inner_2
a71,177.18,175.2,inner_2
a72,213.8,132.04,inner_2
a73,206.77,131.94,inner_2
a74,206.7,121.03,inner_2
a75,215.22,121.03,inner_2
a76,215.22,112.4,inner_2
a77,241.1,112.54,inner_2
a78,241.1,166.93,inner_2
a79,223.85,166.8,inner_2
a80,223.87,160.77,inner_2
a81,219.69,160.84,inner_2
a82,219.7,159.41,inner_2
a83,213.88,159.38,inner_2
a20,81.24,31.22,inner_2
a21,99.87,31.2,inner_2
a22,99.76,49.7,inner_2
a23,81.25,49.67,inner_2
a24,81.25,65.8,inner_2
a25,89.7,65.8,inner_2
a26,89.74,82.1,inner_2
a27,99.8,82.03,inner_2
a28,99.8,102,inner_2
a29,91.26,101.86,inner_2
a30,91.26,110.6,inner_2
a31,81.25,110.56,inner_2
a32,81.25,136.8,inner_2
a33,68.2,136.87,inner_2
a34,68.2,152.74,inner_2
a35,51.13,152.73,inner_2
a36,51.13,160.22,inner_2
a37,59.72,160.24,inner_2
a38,59.66,170.25,inner_2
a39,51.1,170.22,inner_2
a40,51.1,178.7,inner_2
a41,39.24,178.75,inner_2
a42,39.1,170.4,inner_2
a43,26.7,170.27,inner_2
a44,152.74,175.27,inner_2
a45,152.74,156.25,inner_2
a46,143.4,156.25,inner_2
a47,143.42,149.47,inner_2
a48,134.24,149.34,inner_2
a49,134.2,111.9,inner_2
a50,143.3,111.9,inner_2
a51,143.35,88.8,inner_2
a52,134.2,88.7,inner_2
a53,134.26,72.66,inner_2
a54,125.8,72.6,inner_2
a55,125.8,51.4,inner_2
a56,134.1,51.5,inner_2
a57,134.2,36.37,inner_2
a58,152.5,36.37,inner_2
a59,152.54,25.1,inner_2
a60,185.5,25.05,inner_2
a61,185.5,38.9,inner_2
a62,177,39,inner_2
a63,177.09,69.8,inner_2
a64,185.45,69.8,inner_2
a65,185.6,107.26,inner_2
a66,177.16,107.17,inner_2
a67,177.1,129.87,inner_2
a68,185.55,129.87,inner_2
a69,185.55,149.45,inner_2
a70,177149.45,,inner_2
a71,177.18,175.2,inner_2
a72,213.8,132.04,inner_3
a73,206.77,131.94,inner_3
a74,206.7,121.03,inner_3
a75,215.22,121.03,inner_3
a76,215.22,112.4,inner_3
a77,241.1,112.54,inner_3
a78,241.1,166.93,inner_3
a79,223.85,166.8,inner_3
a80,223.87,160.77,inner_3
a81,219.69,160.84,inner_3
a82,219.7,159.41,inner_3
a83,213.88,159.38,inner_3
